"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Lamnidae&taxon_reso=family"
"Access Time","Fri 2017-02-03 18:17:14 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Lamnidae"
"","idreso","family"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0337"
"Records Found","705"
"Records Returned","705"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"535306","occ","","","55396","Otodus obliquus","species","80600","recombined as","Lamna obliqua","species","80600","Langhian","","15.97","13.82","12189"
"535309","occ","","","55396","Lamna denticulata","species","97244","","Lamna denticulata","species","97244","Langhian","","15.97","13.82","12189"
"536071","occ","","","55448","Carcharodon sp.","genus","34605","","Carcharodon","genus","34605","Late Miocene","Early Pliocene","11.608","3.6","14942"
"536078","occ","","","55448","Isurus sp.","genus","34613","","Isurus","genus","34613","Late Miocene","Early Pliocene","11.608","3.6","14942"
"536111","occ","","","55451","Isurus oxyrinchus","species","83168","obsolete variant of","Isurus oxyrhinchus","species","83168","Neogene","","23.03","2.588","14950"
"536112","occ","","","55451","Isurus paucus","species","34613","species not entered","Isurus","genus","34613","Neogene","","23.03","2.588","14950"
"536113","occ","","","55451","Parotodus benedeni","species","280547","","Parotodus benedeni","species","280547","Neogene","","23.03","2.588","14950"
"536833","occ","","","55599","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Serravallian","","13.82","11.62","15016"
"537093","occ","","","55652","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Langhian","","15.97","13.82","15028"
"537379","occ","","","14149","Isurus glaucus","species","34613","species not entered","Isurus","genus","34613","Miocene","","23.03","5.333","15040"
"538314","occ","","","55868","Carcharodon auriculatus","species","205319","","Carcharodon auriculatus","species","205317","Priabonian","","38","33.9","15087"
"544200","occ","","","56884","Isurus desori","species","280548","","Isurus desori","species","280548","Middle Miocene","","15.97","11.608","15332"
"544201","occ","","","56884","Isurus sp.","genus","34613","","Isurus","genus","34613","Middle Miocene","","15.97","11.608","15332"
"545335","occ","","","57119","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Chattian","","28.1","23.03","15422"
"545336","occ","","","57119","Carcharodon cf. praemegalodon","species","34605","species not entered","Carcharodon","genus","34605","Chattian","","28.1","23.03","15422"
"545337","occ","","","57119","Carcharodon sp.","genus","34605","","Carcharodon","genus","34605","Chattian","","28.1","23.03","15422"
"557230","occ","","","57700","Isurus sp.","genus","34613","","Isurus","genus","34613","Langhian","","15.97","13.82","15522"
"558936","occ","","","58089","Carcharodon carcharias","species","83174","","Carcharodon carcharias","species","83173","Irvingtonian","","1.8","0.3","15601"
"560800","occ","","","58451","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Hemphillian","","10.3","4.9","16571"
"562200","occ","","","58637","Lamna sp.","genus","34615","","Lamna","genus","34615","Early Albian","","112.03","109","16649"
"564754","occ","","","58982","Carcharodon arnoldi","species","34605","species not entered","Carcharodon","genus","34605","Messinian","","7.246","5.333","16729"
"564759","occ","","","11601","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Aquitanian","","23.03","20.44","4383"
"564768","occ","","","11601","Isurus benedini","species","34613","species not entered","Isurus","genus","34613","Aquitanian","","23.03","20.44","4383"
"564769","occ","","","11601","Isurus aus","species","34613","species not entered","Isurus","genus","34613","Aquitanian","","23.03","20.44","4383"
"564770","occ","","","11601","Isurus bus","species","34613","species not entered","Isurus","genus","34613","Aquitanian","","23.03","20.44","4383"
"564771","occ","","","11601","Carcharodon angustidens","species","124964","","Carcharodon angustidens","species","124964","Aquitanian","","23.03","20.44","4383"
"565289","occ","","","45486","Isurus cf. oxyrhynchus","species","34613","species not entered","Isurus","genus","34613","Tortonian","","11.62","7.246","16797"
"565305","occ","","","45485","Isurus cf. oxyrhynchus","species","34613","species not entered","Isurus","genus","34613","Tortonian","","11.62","7.246","16797"
"568416","occ","","","47623","Oxyrhina hastalis","species","80595","recombined as","Carcharodon hastalis","species","80595","Aquitanian","","23.03","20.44","17090"
"571584","occ","","","48884","Oxyrhina hastalis","species","80595","recombined as","Carcharodon hastalis","species","80595","Burdigalian","","20.44","15.97","17219"
"579001","occ","","","60940","Carcharodon sp.","genus","34605","","Carcharodon","genus","34605","Zanclean","","5.333","3.6","17558"
"590992","occ","","","62459","Isurus praecursor","species","124962","","Isurus praecursor","species","124962","Middle Eocene","Late Eocene","48.6","33.9","18016"
"591068","occ","","","62468","Isurus praecursor","species","124962","","Isurus praecursor","species","124962","Late Eocene","","37.2","33.9","18016"
"591758","occ","","","62573","Isurus praecursor","species","124962","","Isurus praecursor","species","124962","Middle Eocene","","48.6","37.2","18064"
"593623","occ","","","48887","Isurus oxyrinchus","species","83168","obsolete variant of","Isurus oxyrhinchus","species","83168","Serravallian","","13.82","11.62","18094"
"593624","occ","","","48887","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Serravallian","","13.82","11.62","18094"
"593625","occ","","","48887","Carcharodon subauriculatus","species","83172","","Carcharodon subauriculatus","species","83172","Serravallian","","13.82","11.62","18094"
"593647","occ","","","52582","Parotodus benedenii","species","83167","","Parotodus benedenii","species","83166","Zanclean","","5.333","3.6","18094"
"593648","occ","","","52582","Isurus oxyrinchus","species","83168","obsolete variant of","Isurus oxyrhinchus","species","83168","Zanclean","","5.333","3.6","18094"
"593649","occ","","","52582","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Zanclean","","5.333","3.6","18094"
"593650","occ","","","52582","Isurus xiphodon","species","83171","subjective synonym of","Carcharodon hastalis","species","80595","Zanclean","","5.333","3.6","18094"
"593651","occ","","","52582","Lamna sp.","genus","34615","","Lamna","genus","34615","Zanclean","","5.333","3.6","18094"
"593653","occ","","","52582","Carcharodon carcharias","species","83174","","Carcharodon carcharias","species","83173","Zanclean","","5.333","3.6","18094"
"602782","occ","","","64142","Lamna sp.","genus","34615","","Lamna","genus","34615","Late Campanian","","83.5","70.6","18396"
"608440","occ","","","65037","Lamnidae indet.","family","80587","","Lamnidae","family","80587","Burdigalian","","20.44","15.97","18729"
"609415","occ","","","65223","Lamnidae indet.","family","80587","","Lamnidae","family","80587","Early Maastrichtian","","70.6","66","18800"
"609449","occ","","","32899","Isurus aff. praeccursor","species","34613","species not entered","Isurus","genus","34613","Priabonian","","38","33.9","18800"
"613838","occ","","","65985","Isurus sp.","genus","34613","","Isurus","genus","34613","Miocene","","23.03","5.333","18909"
"613839","occ","","","65985","Carcharodon ? sp.","genus","34605","","Carcharodon","genus","34605","Miocene","","23.03","5.333","18909"
"613867","occ","","","52183","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Langhian","","15.97","13.82","18910"
"613868","occ","","","52183","Isurus planus","species","34613","species not entered","Isurus","genus","34613","Langhian","","15.97","13.82","18910"
"620888","occ","","","66819","Carcharodon sp.","genus","34605","","Carcharodon","genus","34605","Gelasian","","2.588","1.806","19024"
"620889","occ","","","66819","Isurus sp.","genus","34613","","Isurus","genus","34613","Gelasian","","2.588","1.806","19024"
"633307","occ","","","68175","Otodus obliquus","species","80600","recombined as","Lamna obliqua","species","80600","Thanetian","","59.2","56","19606"
"634589","occ","","","68271","Carcharodon carcharias","species","83174","","Carcharodon carcharias","species","83173","Zanclean","","5.333","3.6","19640"
"634983","occ","","","68314","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Middle Miocene","","15.97","11.608","19610"
"639047","occ","","","55535","Carcharodon carcharias","species","83174","","Carcharodon carcharias","species","83173","Messinian","","7.246","5.333","19852"
"639048","occ","","","55535","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Messinian","","7.246","5.333","19852"
"639424","occ","","","51190","Lamna sp.","genus","34615","","Lamna","genus","34615","Burdigalian","","20.44","15.97","19863"
"639425","occ","","","51190","Isurus sp.","genus","34613","","Isurus","genus","34613","Burdigalian","","20.44","15.97","19863"
"639426","occ","","","51190","Carcharodon sp.","genus","34605","","Carcharodon","genus","34605","Burdigalian","","20.44","15.97","19863"
"645031","occ","","","38868","Lamnidae indet.","family","80587","","Lamnidae","family","80587","Ypresian","","56","47.8","23360"
"645725","occ","","","69730","Carcharodon carcharias","species","83174","","Carcharodon carcharias","species","83173","Tortonian","","11.62","7.246","23394"
"645727","occ","","","69731","Carcharodon carcharias","species","83174","","Carcharodon carcharias","species","83173","Zanclean","","5.333","3.6","23394"
"646277","occ","","","69805","Isurus flandricus","species","34613","species not entered","Isurus","genus","34613","Early Oligocene","","33.9","28.4","23435"
"646278","occ","","","69805","Isurus desori","species","280548","","Isurus desori","species","280548","Early Oligocene","","33.9","28.4","23435"
"650515","occ","","","49102","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","MN 4","","16.9","15.97","23602"
"651306","occ","","","70427","Isurus zippei","species","34613","species not entered","Isurus","genus","34613","Late Cenomanian","","99.6","93.5","23599"
"651308","occ","","","70427","Lamna ? sp.","genus","34615","","Lamna","genus","34615","Late Cenomanian","","99.6","93.5","23599"
"651313","occ","","","70316","Isurus sp.","genus","34613","","Isurus","genus","34613","Early Santonian","Middle Santonian","85.8","83.5","23599"
"655704","occ","","","70814","Carcharodon subauriculatus","species","83172","","Carcharodon subauriculatus","species","83172","Burdigalian","","20.44","15.97","23748"
"655705","occ","","","70814","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Burdigalian","","20.44","15.97","23748"
"655706","occ","","","70814","Isurus oxyrinchus","species","83168","obsolete variant of","Isurus oxyrhinchus","species","83168","Burdigalian","","20.44","15.97","23748"
"655707","occ","","","70814","Isurus sp.","genus","34613","","Isurus","genus","34613","Burdigalian","","20.44","15.97","23748"
"655721","occ","","","70814","Parotodus benedeni","species","280547","","Parotodus benedeni","species","280547","Burdigalian","","20.44","15.97","23748"
"656148","occ","","","57782","Oxyrhina hastalis","species","80595","recombined as","Carcharodon hastalis","species","80595","Langhian","","15.97","13.82","23697"
"656150","occ","","","57782","Otodus obliquus","species","80600","recombined as","Lamna obliqua","species","80600","Langhian","","15.97","13.82","23697"
"660209","occ","","","71147","Isurus planus","species","34613","species not entered","Isurus","genus","34613","Early Pliocene","","5.333","3.6","23806"
"663773","occ","","","18587","Carcharodon angustidens","species","124964","","Carcharodon angustidens","species","124964","Langhian","","15.97","13.82","12635"
"665022","occ","","","71633","Lamna sp.","genus","34615","","Lamna","genus","34615","Ypresian","","56","47.8","24207"
"665396","occ","","","71660","Procarcharodon auriculatus","species","223912","recombined as","Carcharodon auriculatus","species","205317","Early Miocene","","23.03","15.97","24210"
"665397","occ","","","71660","Isurus oxyrhinchus","species","83168","","Isurus oxyrhinchus","species","83168","Early Miocene","","23.03","15.97","24210"
"666824","occ","","","55517","Isurus sp.","genus","34613","","Isurus","genus","34613","Langhian","","15.97","13.82","24251"
"668275","occ","","","72085","Carcharodon carcharias","species","83174","","Carcharodon carcharias","species","83173","Middle Miocene","","15.97","11.608","24392"
"668337","occ","","","72084","Isurus spallanzanii","species","34613","species not entered","Isurus","genus","34613","Early Miocene","","23.03","15.97","24392"
"668362","occ","","","72084","Carcharodon sp.","genus","34605","","Carcharodon","genus","34605","Early Miocene","","23.03","15.97","24392"
"679932","occ","","","55690","Carcharodon sp.","genus","34605","","Carcharodon","genus","34605","Langhian","","15.97","13.82","24633"
"680777","occ","","","71975","Procarcharodon auriculatus","species","223912","recombined as","Carcharodon auriculatus","species","205317","Late Eocene","","37.2","33.9","24336"
"680799","occ","","","73434","Procarcharodon auriculatus","species","223912","recombined as","Carcharodon auriculatus","species","205317","Late Eocene","","37.2","33.9","24336"
"680800","occ","","","73434","Isurus oxyrhinchus","species","83168","","Isurus oxyrhinchus","species","83168","Late Eocene","","37.2","33.9","24336"
"680801","occ","","","73434","Lamna n. sp. twiggsensis","species","223913","","Lamna twiggsensis","species","223913","Late Eocene","","37.2","33.9","24336"
"703464","occ","","","48074","Isurus sp.","genus","34613","","Isurus","genus","34613","Lutetian","","47.8","41.3","25499"
"706800","occ","","","45480","Carcharodon carcharias","species","83174","","Carcharodon carcharias","species","83173","Piacenzian","","3.6","2.588","24838"
"711260","occ","","","76129","Carcharodon sp.","genus","34605","","Carcharodon","genus","34605","Aquitanian","","23.03","20.44","25806"
"711263","occ","","","76129","Isurus sp.","genus","34613","","Isurus","genus","34613","Aquitanian","","23.03","20.44","25806"
"711264","occ","","","76129","Lamna sp.","genus","34615","","Lamna","genus","34615","Aquitanian","","23.03","20.44","25806"
"714321","occ","","","76601","Otodus obliquus","species","80600","recombined as","Lamna obliqua","species","80600","Ypresian","","56","47.8","25898"
"716082","occ","","","76844","Carcharodon arnoldi","species","34605","species not entered","Carcharodon","genus","34605","Early Pleistocene","","2.588","0.781","25983"
"716083","occ","","","76844","Carcharodon carcharias","species","83174","","Carcharodon carcharias","species","83173","Early Pleistocene","","2.588","0.781","25983"
"716085","occ","","","76844","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Early Pleistocene","","2.588","0.781","25983"
"719652","occ","","","77208","Carcharodon sp.","genus","34605","","Carcharodon","genus","34605","Middle Miocene","Pliocene","15.97","2.588","26142"
"719654","occ","","","77208","Isurus sp.","genus","34613","","Isurus","genus","34613","Middle Miocene","Pliocene","15.97","2.588","26142"
"722612","occ","","","77479","Carcharodon sp.","genus","34605","","Carcharodon","genus","34605","Pliocene","","5.333","2.588","26226"
"731047","occ","","","78552","Lamna sp.","genus","34615","","Lamna","genus","34615","Early Miocene","","23.03","15.97","26402"
"732439","occ","","","78614","Carcharodon carcharias","species","83174","","Carcharodon carcharias","species","83173","Middle Miocene","","15.97","11.608","26436"
"732440","occ","","","78614","Isurus spallanzanii","species","34613","species not entered","Isurus","genus","34613","Middle Miocene","","15.97","11.608","26436"
"732969","occ","","","78641","Carcharodon carcharias","species","83174","","Carcharodon carcharias","species","83173","Early Miocene","","23.03","15.97","26436"
"732970","occ","","","78641","Isurus spallanzanii","species","34613","species not entered","Isurus","genus","34613","Early Miocene","","23.03","15.97","26436"
"740418","occ","","","32991","Isurus praecursor","species","124962","","Isurus praecursor","species","124962","Lutetian","","47.8","41.3","26719"
"747397","occ","","","17341","Carcharodon auriculatus","species","205319","","Carcharodon auriculatus","species","205317","Whitneyan","","33.3","30.8","2738"
"747398","occ","","","17341","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Whitneyan","","33.3","30.8","2738"
"754270","occ","","","60711","Carcharodon debrayi","species","34605","species not entered","Carcharodon","genus","34605","Lutetian","","47.8","41.3","27147"
"757601","occ","","","81061","Lamnidae indet.","family","80587","","Lamnidae","family","80587","Cenomanian","","100.5","93.9","27249"
"758944","occ","","","81199","Carcharodon aff. turgidus","species","205325","","Carcharodon turgidus","species","205325","Chattian","","28.1","23.03","27364"
"776758","occ","","","28983","Carcharodon angustidens","species","124964","","Carcharodon angustidens","species","124964","Priabonian","","38","33.9","27954"
"780661","occ","","","84011","Lamna n. sp. mediavia","species","124955","","Lamna mediavia","species","124955","Paleocene","","66","56","28099"
"780680","occ","","","84018","Lamna mediavia","species","124955","","Lamna mediavia","species","124955","Cretaceous","","145","66","28099"
"780792","occ","","","84056","Lamna obliqua","species","132650","","Lamna obliqua","species","80600","Eocene","","56","33.9","28099"
"780793","occ","","","84046","Lamna obliqua","species","132650","","Lamna obliqua","species","80600","Paleocene","","66","56","28099"
"780794","occ","","","84051","Lamna obliqua","species","132650","","Lamna obliqua","species","80600","Paleocene","","66","56","28099"
"780795","occ","","","84053","Lamna obliqua","species","132650","","Lamna obliqua","species","80600","Eocene","","56","33.9","28099"
"780796","occ","","","84054","Lamna obliqua","species","132650","","Lamna obliqua","species","80600","Eocene","","56","33.9","28099"
"780797","occ","","","84055","Lamna obliqua","species","132650","","Lamna obliqua","species","80600","Eocene","","56","33.9","28099"
"780798","occ","","","84048","Lamna obliqua","species","132650","","Lamna obliqua","species","80600","Late Paleocene","","58.7","55.8","28099"
"780799","occ","","","84046","Lamna vincenti","species","132651","","Lamna vincenti","species","253566","Paleocene","","66","56","28099"
"780801","occ","","","81880","Carcharodon sp.","genus","34605","","Carcharodon","genus","34605","Ypresian","","56","47.8","28099"
"780802","occ","","","84053","Carcharodon sp.","genus","34605","","Carcharodon","genus","34605","Eocene","","56","33.9","28099"
"780803","occ","","","84049","Carcharodon sp.","genus","34605","","Carcharodon","genus","34605","Paleocene","","66","56","28099"
"780817","occ","","","18506","Carcharodon angustidens","species","124964","","Carcharodon angustidens","species","124964","Miocene","","23.03","5.333","28099"
"780818","occ","","","84058","Carcharodon angustidens","species","124964","","Carcharodon angustidens","species","124964","Priabonian","","38","33.9","28099"
"780841","occ","","","18518","Oxyrhina hastalis","species","80595","recombined as","Carcharodon hastalis","species","80595","Serravallian","","13.82","11.62","28099"
"780842","occ","","","71798","Oxyrhina hastalis","species","80595","recombined as","Carcharodon hastalis","species","80595","Langhian","","15.97","13.82","28099"
"780843","occ","","","57114","Oxyrhina hastalis","species","80595","recombined as","Carcharodon hastalis","species","80595","Langhian","","15.97","13.82","28099"
"780844","occ","","","18506","Oxyrhina hastalis","species","80595","recombined as","Carcharodon hastalis","species","80595","Miocene","","23.03","5.333","28099"
"780848","occ","","","71798","Alopecias n. sp. grandis","species","132706","","Alopecias grandis","species","132706","Langhian","","15.97","13.82","28099"
"780849","occ","","","18506","Alopecias grandis","species","132706","","Alopecias grandis","species","132706","Miocene","","23.03","5.333","28099"
"784322","occ","","","84550","Lamna sulcata","species","172321","","Lamna sulcata","species","172320","Early Cenomanian","","99.6","93.5","28351"
"784323","occ","","","84550","Lamna planidens","species","34615","species not entered","Lamna","genus","34615","Early Cenomanian","","99.6","93.5","28351"
"784419","occ","","","84553","Otodus obliquus","species","80600","recombined as","Lamna obliqua","species","80600","Selandian","Thanetian","61.6","56","28352"
"784434","occ","","","84554","Otodus obliquus","species","80600","recombined as","Lamna obliqua","species","80600","Selandian","Thanetian","61.6","56","28352"
"789112","occ","","","84331","Isurus sp.","genus","34613","","Isurus","genus","34613","Clarendonian","","13.6","10.3","28773"
"789162","occ","","","20639","Carcharodon sp.","genus","34605","","Carcharodon","genus","34605","Late Pleistocene","","0.126","0.0117","28773"
"789228","occ","","","20645","Carcharodon sp.","genus","34605","","Carcharodon","genus","34605","Late Pleistocene","","0.126","0.0117","28773"
"789236","occ","","","20646","Carcharodon carcharias","species","83174","","Carcharodon carcharias","species","83173","Late Pleistocene","","0.126","0.0117","28773"
"799552","occ","","","45653","Lamna lanceolata ?","species","34615","species not entered","Lamna","genus","34615","Chattian","","28.1","23.03","29254"
"799553","occ","","","45653","Lamna sp.","genus","34615","","Lamna","genus","34615","Chattian","","28.1","23.03","29254"
"799560","occ","","","45653","Carcharodon auriculatus","species","205319","","Carcharodon auriculatus","species","205317","Chattian","","28.1","23.03","29254"
"802317","occ","","","87248","Lamna rupeliensis","species","34615","species not entered","Lamna","genus","34615","Rupelian","","33.9","28.1","29207"
"802318","occ","","","87248","Isurus gracilis","species","34613","species not entered","Isurus","genus","34613","Rupelian","","33.9","28.1","29207"
"802319","occ","","","87248","Isurus flandricus","species","34613","species not entered","Isurus","genus","34613","Rupelian","","33.9","28.1","29207"
"802378","occ","","","87249","Lamna rupeliensis","species","34615","species not entered","Lamna","genus","34615","Rupelian","","33.9","28.1","29207"
"802379","occ","","","87249","Isurus gracilis","species","34613","species not entered","Isurus","genus","34613","Rupelian","","33.9","28.1","29207"
"802396","occ","","","87250","Lamna rupeliensis","species","34615","species not entered","Lamna","genus","34615","Rupelian","","33.9","28.1","29207"
"802397","occ","","","87250","Isurus gracilis","species","34613","species not entered","Isurus","genus","34613","Rupelian","","33.9","28.1","29207"
"802398","occ","","","87250","Isurus flandricus","species","34613","species not entered","Isurus","genus","34613","Rupelian","","33.9","28.1","29207"
"802453","occ","","","45505","Lamna catticua","species","34615","species not entered","Lamna","genus","34615","Langhian","","15.97","13.82","29207"
"802454","occ","","","45505","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Langhian","","15.97","13.82","29207"
"802455","occ","","","45505","Isurus retroflexus","species","34613","species not entered","Isurus","genus","34613","Langhian","","15.97","13.82","29207"
"802456","occ","","","45505","Isurus benedeni","species","34613","species not entered","Isurus","genus","34613","Langhian","","15.97","13.82","29207"
"802494","occ","","","53889","Lamna sp.","genus","34615","","Lamna","genus","34615","Late Miocene","","11.608","5.333","29207"
"802495","occ","","","53889","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Late Miocene","","11.608","5.333","29207"
"802496","occ","","","53889","Isurus escheri","species","280549","","Isurus escheri","species","280549","Late Miocene","","11.608","5.333","29207"
"803464","occ","","","87485","Isurus spaltanzeni","species","34613","species not entered","Isurus","genus","34613","Early Miocene","","23.03","15.97","29458"
"803465","occ","","","87485","Isurus pagoda","species","34613","species not entered","Isurus","genus","34613","Early Miocene","","23.03","15.97","29458"
"803479","occ","","","87489","Isurus spalanzeni","species","34613","species not entered","Isurus","genus","34613","Zanclean","","5.333","3.6","29458"
"803480","occ","","","87489","Isurus pagoda","species","34613","species not entered","Isurus","genus","34613","Zanclean","","5.333","3.6","29458"
"803508","occ","","","42842","Isurus spaltenzeni","species","34613","species not entered","Isurus","genus","34613","Early Miocene","","23.03","15.97","29458"
"803509","occ","","","42842","Isurus pagoda","species","34613","species not entered","Isurus","genus","34613","Early Miocene","","23.03","15.97","29458"
"803510","occ","","","42842","Isurus remeshi","species","34613","species not entered","Isurus","genus","34613","Early Miocene","","23.03","15.97","29458"
"803512","occ","","","42842","Carcharodon carcharias","species","83174","","Carcharodon carcharias","species","83173","Early Miocene","","23.03","15.97","29458"
"803513","occ","","","42842","Carcharodon bigelowi","species","34605","species not entered","Carcharodon","genus","34605","Early Miocene","","23.03","15.97","29458"
"804450","occ","","","87755","Corax ? sp.","genus","80612","","Corax","genus","80612","Late Turonian","","93.5","89.3","29509"
"804586","occ","","","87767","Isurus ? sp.","genus","34613","","Isurus","genus","34613","Coniacian","","89.8","86.3","29509"
"806539","occ","","","88070","Lamna serra","species","144459","","Lamna serra","species","144459","Maastrichtian","","72.1","66","29591"
"807796","occ","","","88328","Carcharodon carcharias","species","83174","","Carcharodon carcharias","species","83173","Piacenzian","","3.6","2.588","29650"
"823080","occ","","","15074","Otodus obliquus","species","80600","recombined as","Lamna obliqua","species","80600","Clarkforkian","","56.8","55.8","30478"
"823082","occ","","","15074","Carcharodon orientalis","species","205313","","Carcharodon orientalis","species","205313","Clarkforkian","","56.8","55.8","30478"
"829980","occ","","","91586","Lamna sp.","genus","34615","","Lamna","genus","34615","Early Hauterivian","","136.4","130","30868"
"858932","occ","","","95373","Isurus sp.","genus","34613","","Isurus","genus","34613","Middle Miocene","","15.97","11.608","32455"
"866757","occ","","","19595","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Langhian","","15.97","13.82","1946"
"866758","occ","","","19595","Isurus planus","species","34613","species not entered","Isurus","genus","34613","Langhian","","15.97","13.82","1946"
"866759","occ","","","19595","Isurus sp.","genus","34613","","Isurus","genus","34613","Langhian","","15.97","13.82","1946"
"870443","occ","","","96541","Carcharodon arnoldi","species","34605","species not entered","Carcharodon","genus","34605","Early Pliocene","","5.333","3.6","32774"
"871136","occ","","","96580","Carcharodon arnoldi","species","34605","species not entered","Carcharodon","genus","34605","Pliocene","","5.333","2.588","32782"
"872756","occ","","","96738","Carcharodon polygyrus","species","97248","","Carcharodon polygyrus","species","97248","Pliocene","","5.333","2.588","32997"
"872863","occ","","","96761","Isurus sp.","genus","34613","","Isurus","genus","34613","Pliocene","","5.333","2.588","32997"
"874099","occ","","","77596","Carcharodon sp.","genus","34605","","Carcharodon","genus","34605","Pleistocene","","2.588","0.0117","33085"
"874100","occ","","","77596","Lamna sp.","genus","34615","","Lamna","genus","34615","Pleistocene","","2.588","0.0117","33085"
"880090","occ","","","96952","Carcharocles auriculatus","species","285239","recombined as","Carcharodon auriculatus","species","205317","Priabonian","","38","33.9","33316"
"880091","occ","","","96952","Isurus praecursor","species","124962","","Isurus praecursor","species","124962","Priabonian","","38","33.9","33316"
"880170","occ","","","97626","Isurus sp.","genus","34613","","Isurus","genus","34613","Late Miocene","","11.608","5.333","33321"
"888834","occ","","","97210","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Early Pliocene","","5.333","3.6","33152"
"888846","occ","","","97230","Carcharodon sulcidens","species","202667","","Carcharodon sulcidens","species","202667","Early Pliocene","","5.333","3.6","33152"
"888847","occ","","","97230","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Early Pliocene","","5.333","3.6","33152"
"888861","occ","","","97236","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Early Pliocene","","5.333","3.6","33152"
"888868","occ","","","97234","Carcharodon sulcidens","species","202667","","Carcharodon sulcidens","species","202667","Early Pliocene","","5.333","3.6","33152"
"894667","occ","","","99143","Lamna aff. sulcata","species","172321","","Lamna sulcata","species","172320","Albian","","113","100.5","34100"
"894675","occ","","","99146","Lamna aff. sulcata","species","172321","","Lamna sulcata","species","172320","Early Albian","","112.03","109","34100"
"894678","occ","","","99147","Lamna aff. sulcata","species","172321","","Lamna sulcata","species","172320","Albian","","113","100.5","34100"
"894681","occ","","","99148","Lamna ? sp.","genus","34615","","Lamna","genus","34615","Albian","","113","100.5","34100"
"894683","occ","","","99149","Lamna aff. sulcata","species","172321","","Lamna sulcata","species","172320","Albian","","113","100.5","34100"
"894688","occ","","","99152","Lamna aff. sulcata","species","172321","","Lamna sulcata","species","172320","Albian","","113","100.5","34100"
"894694","occ","","","99154","Lamna aff. sulcata","species","172321","","Lamna sulcata","species","172320","Aptian","","125","113","34100"
"894697","occ","","","99155","Lamna aff. sulcata","species","172321","","Lamna sulcata","species","172320","Albian","","113","100.5","34100"
"894702","occ","","","99157","Lamna aff. sulcata","species","172321","","Lamna sulcata","species","172320","Albian","","113","100.5","34100"
"894703","occ","","","99158","Lamna aff. sulcata","species","172321","","Lamna sulcata","species","172320","Albian","","113","100.5","34100"
"897345","occ","","","99572","Isurus dolloi","species","34613","species not entered","Isurus","genus","34613","Eocene","","56","33.9","34241"
"897351","occ","","","99577","Lamna sp.","genus","34615","","Lamna","genus","34615","Neogene","","23.03","2.588","27111"
"897352","occ","","","99578","Lamna sp.","genus","34615","","Lamna","genus","34615","Neogene","","23.03","2.588","27111"
"897353","occ","","","99579","Lamna sp.","genus","34615","","Lamna","genus","34615","Neogene","","23.03","2.588","27111"
"897354","occ","","","99580","Carcharodon sp.","genus","34605","","Carcharodon","genus","34605","Neogene","","23.03","2.588","27111"
"897357","occ","","","99581","Lamna sp.","genus","34615","","Lamna","genus","34615","Neogene","","23.03","2.588","27111"
"897358","occ","","","99582","Carcharodon sp.","genus","34605","","Carcharodon","genus","34605","Neogene","","23.03","2.588","27111"
"897360","occ","","","99582","Lamna sp.","genus","34615","","Lamna","genus","34615","Neogene","","23.03","2.588","27111"
"897476","occ","","","99612","Carcharodon sp.","genus","34605","","Carcharodon","genus","34605","Neogene","","23.03","2.588","27111"
"897491","occ","","","99615","Lamna sp.","genus","34615","","Lamna","genus","34615","Neogene","","23.03","2.588","27111"
"897492","occ","","","99614","Lamna sp.","genus","34615","","Lamna","genus","34615","Neogene","","23.03","2.588","27111"
