Species	Status	min_age	max_age
Nimravides_thinobates	extinct	4.9	10.3
Machairodus	extinct	4.9	10.3
Nimravides_thinobates	extinct	4.9	10.3
Pseudaelurus	extinct	10.3	13.6
Pseudaelurus	extinct	10.3	13.6
Nimravides_thinobates	extinct	4.9	10.3
Machairodus	extinct	4.9	10.3
Amphimachairodus_coloradensis	extinct	4.9	10.3
Felis_rexroadensis	extinct	4.9	10.3
Nimravides	extinct	4.9	10.3
Felidae	extant	4.9	10.3
Felidae	extant	10.3	13.6
Amphimachairodus_coloradensis	extinct	4.9	10.3
Lynx_proterolyncis	extinct	4.9	10.3
Nimravides_hibbardi	extinct	4.9	10.3
Machairodus	extinct	4.9	10.3
Amphimachairodus_coloradensis	extinct	4.9	10.3
Adelphailurus_kansensis	extinct	4.9	10.3
Felidae	extant	4.9	10.3
Pseudaelurus_intrepidus	extinct	13.6	15.97
Pseudaelurus	extinct	13.6	15.97
Adelphailurus_kansensis	extinct	4.9	10.3
Nimravides_galiani	extinct	4.9	13.6
Nimravides_thinobates	extinct	4.9	13.6
Machairodus	extinct	4.9	13.6
Nimravides_thinobates	extinct	4.9	10.3
Pseudaelurus	extinct	13.6	15.97
Pseudaelurus_marshi	extinct	13.6	15.97
Nimravides	extinct	10.3	13.6
Pseudaelurus_stouti	extinct	13.6	15.97
Nimravides	extinct	4.9	10.3
Felidae	extant	10.3	13.6
Pratifelis_martini	extinct	4.9	10.3
Pseudaelurus	extinct	13.6	15.97
Nimravides_thinobates	extinct	4.9	10.3
Pseudaelurus_marshi	extinct	5.333	23.03
Felidae	extant	13.6	15.97
Nimravides_pedionomus	extinct	10.3	13.6
Nimravides_galiani	extinct	4.9	13.6
Nimravides	extinct	4.9	13.6
Amphimachairodus_coloradensis	extinct	4.9	10.3
Lynx_proterolyncis	extinct	4.9	10.3
Adelphailurus	extinct	4.9	10.3
Felidae	extant	5.333	23.03
Felidae	extant	4.9	13.6
Nimravides_thinobates	extinct	5.333	23.03
Amphimachairodus_coloradensis	extinct	4.9	10.3
Felis_rexroadensis	extinct	4.9	10.3
