Species	Status	min_age	max_age
Panthera_leo	extant	0	2.588
Panthera_pardus	extant	0	2.588
Hyaena_hyaena	extant	0	2.588
Felis_silvestris	extant	0	2.588
Panthera_pardus	extant	0	2.588
Felis_silvestris	extant	0	2.588
Felis	extant	0	2.588
Crocuta_crocuta	extant	0	2.588
Panthera_pardus	extant	0	2.588
Felis_silvestris	extant	0	2.588
Felis	extant	0	2.588
Felidae	extant	0	0.0117
Crocuta_crocuta	extant	0.0117	2.588
Hyaena_hyaena	extant	0.0117	2.588
Crocuta_crocuta	extant	0.0117	0.781
Panthera_pardus	extant	0.0117	0.781
Herpestes_sanguineus	extant	0.0117	0.781
Panthera_leo	extant	0	0.0117
Hyaena_hyaena	extant	0.0117	2.588
Felis_libyca	extant	0.0117	2.588
Hyaena_hyaena	extant	0	2.588
Hyaena_hyaena	extant	0.0117	2.588
Felis_libyca	extant	0	0.0117
Felis_libyca	extant	0	0.0117
Felidae	extant	0.0117	2.588
Felidae	extant	0	0.0117
Hyaenidae	extinct	0.0117	2.588
Panthera	extinct	0.0117	2.588
Proteles	extant	0.0117	2.588
Caracal_caracal	extant	0	2.588
Caracal_serval	extant	0	2.588
Caracal_caracal	extant	0	2.588
Caracal_serval	extant	0	2.588
Panthera_leo	extant	0.0117	2.588
Parahyaena_brunnea	extant	0.0117	2.588
Herpestes_pulverulentus	extant	0.0117	2.588
Panthera_pardus	extant	0.781	1.806
Panthera	extinct	0.781	1.806
Viverridae	extant	0.781	1.806
Viverridae	extant	0.781	1.806
Machairodus	extinct	5.333	23.03
Machairodus	extinct	2.588	23.03
Viverridae	extant	0.781	1.806
Crocuta	extant	0	2.588
Homotherium	extinct	7.246	13.82
Hyaenidae	extinct	3.6	11.62
Chasmaporthetes	extinct	0.0117	5.333
Felidae	extant	3.6	11.62
Dinofelis	extinct	0.0117	5.333
Megantereon	extant	0.0117	5.333
Parahyaena_brunnea	extant	2.588	23.03
Felidae	extant	3.6	5.333
Hyaenidae	extinct	3.6	5.333
Homotherium	extinct	3.6	5.333
Chasmaporthetes	extinct	3.6	5.333
Dinofelis	extinct	3.6	5.333
Felis	extant	3.6	5.333
Hyaena_abronia	extinct	3.6	5.333
Ictitherium	extinct	3.6	5.333
Pseudocivetta	extinct	3.6	5.333
Herpestidae	extant	3.6	5.333
Viverra_leakeyi	extinct	3.6	5.333
Adcrocuta	extinct	3.6	5.333
Felidae	extant	3.6	5.333
Hyaenidae	extinct	3.6	5.333
Homotherium	extinct	3.6	5.333
Herpestes	extant	3.6	5.333
Felis	extant	3.6	5.333
Chasmaporthetes	extinct	3.6	5.333
Dinofelis	extinct	3.6	5.333
Ictitherium	extinct	3.6	5.333
Herpestidae	extant	3.6	5.333
Adcrocuta	extinct	3.6	5.333
Pseudocivetta	extinct	3.6	5.333
Felis_obscura	extinct	3.6	5.333
Dinofelis	extinct	2.588	23.03
Viverridae	extant	2.588	23.03
Caracal_caracal	extant	2.588	23.03
Hyaenidae	extinct	2.588	23.03
Machairodus	extinct	2.588	23.03
Hyaena	extant	2.588	23.03
Parahyaena_brunnea	extant	0.0117	23.03
Felidae	extant	2.588	5.333
Viverridae	extant	2.588	5.333
Parahyaena	extinct	2.588	5.333
Dinofelis	extinct	2.588	11.62
Machairodontinae	extinct	2.588	11.62
Hyaenidae	extinct	2.588	11.62
Felidae	extant	2.588	11.62
Civettictis	extinct	2.588	11.62
Dinofelis	extinct	2.588	11.608
Crocuta	extant	0.781	7.246
Pachycrocuta	extinct	0.781	7.246
Crocuta_crocuta	extant	0.0117	2.588
Panthera_leo	extant	0.0117	2.588
Ichneumia	extinct	0.0117	2.588
Homotherium	extinct	5.333	7.246
Pachycrocuta	extinct	5.333	7.246
Atilax	extinct	5.333	7.246
Felidae	extant	5.333	7.246
Crocuta	extant	5.333	7.246
Ichneumia	extinct	5.333	7.246
Hyaenidae	extinct	3.6	5.333
Panthera	extinct	3.6	5.333
Felidae	extant	3.6	5.333
Hyaenidae	extinct	0.0117	2.588
Felidae	extant	5.333	7.246
Megantereon	extant	2.588	5.333
Homotherium	extinct	2.588	5.333
Civettictis_civetta	extant	2.588	5.333
Parahyaena_brunnea	extant	0.0117	5.333
Dinofelis	extinct	3.6	5.333
Felidae	extant	3.6	5.333
Hyaenidae	extinct	3.6	5.333
Felis_libyca	extant	2.588	3.6
Caracal_caracal	extant	2.588	3.6
Acinonyx_jubatus	extant	2.588	3.6
Caracal_serval	extant	2.588	3.6
Megantereon	extant	2.588	3.6
Felis	extant	2.588	3.6
Homotherium	extinct	2.588	5.333
Crocuta_crocuta	extant	0.0117	2.588
Panthera_leo	extant	0.0117	2.588
Panthera_pardus	extant	0.0117	2.588
Dinofelis	extinct	0.781	2.588
Dinofelis	extinct	0.781	1.806
Hyaena	extant	2.588	5.333
Felis	extant	2.588	5.333
Hyaena_hyaena	extant	0	2.588
Panthera_pardus	extant	0.781	2.588
Crocuta_crocuta	extant	0.781	2.588
Panthera_pardus	extant	0.781	2.588
Crocuta_crocuta	extant	0.781	2.588
Crocuta_crocuta	extant	0.781	1.806
Felis	extant	0.781	1.806
Hyaena	extant	5.333	7.246
Machairodus	extinct	5.333	7.246
Crocuta	extant	1.806	2.588
Herpestes	extant	1.806	2.588
Felidae	extant	1.806	2.588
Felidae	extant	1.806	2.588
Crocuta	extant	1.806	2.588
Pseudocivetta	extinct	1.806	2.588
Caracal_serval	extant	0.781	1.806
Viverridae	extant	0.781	1.806
Machairodontinae	extinct	0.781	1.806
Crocuta	extant	0.781	2.588
Crocuta	extant	0.781	2.588
Crocuta	extant	0.0117	2.588
Genetta	extant	11.62	13.82
Genetta	extant	0	2.588
Cynictis_penicillata	extant	0	0.0117
Herpestes_ichneumon	extant	0	0.0117
Atilax_paludinosus	extant	0	0.0117
Caracal_caracal	extant	0	0.0117
Cynictis_penicillata	extant	0	0.0117
Cynictis_penicillata	extant	0.0117	2.588
Caracal_caracal	extant	0	2.588
Cynictis_penicillata	extant	0	2.588
Felis_silvestris	extant	0	0.0117
Felis_libyca	extant	0	2.588
Panthera_leo	extant	0	0.0117
Herpestes_sanguineus	extant	0	0.0117
Crocuta_crocuta	extant	0	0.0117
Herpestes_sanguineus	extant	0	0.0117
Felis_libyca	extant	0	0.0117
Felis_silvestris	extant	0	0.0117
Cynictis_penicillata	extant	0	0.0117
Cynictis_penicillata	extant	0	0.0117
Cynictis_penicillata	extant	0	0.0117
Panthera_pardus	extant	0	0.0117
Cynictis_penicillata	extant	0	0.0117
Herpestes_ichneumon	extant	0	0.0117
Viverridae	extant	0.0117	2.588
Panthera_pardus	extant	0.0117	2.588
Felis_libyca	extant	0.0117	2.588
Caracal_caracal	extant	0.0117	2.588
Parahyaena_brunnea	extant	0.0117	2.588
Herpestes_ichneumon	extant	0.0117	2.588
Atilax_paludinosus	extant	0.0117	2.588
Herpestes_pulverulentus	extant	0.0117	2.588
Caracal_caracal	extant	0	0.0117
Genetta_genetta	extant	0	0.0117
Panthera_pardus	extant	0	0.0117
Genetta	extant	0	0.0117
Felis_libyca	extant	0	0.0117
Caracal_caracal	extant	0	0.0117
Genetta_genetta	extant	0	0.0117
Herpestes_pulverulentus	extant	0	0.0117
Panthera_leo	extant	0.0117	2.588
Panthera_pardus	extant	0.0117	2.588
Felis_libyca	extant	0.0117	2.588
Caracal_serval	extant	0.0117	2.588
Parahyaena_brunnea	extant	0.0117	2.588
Herpestes_ichneumon	extant	0.0117	2.588
Atilax_paludinosus	extant	0.0117	2.588
Panthera_pardus	extant	0	0.0117
Felis_libyca	extant	0	0.0117
Caracal_caracal	extant	0	0.0117
Cynictis_penicillata	extant	0	0.0117
Panthera_pardus	extant	0	0.0117
Cynictis_penicillata	extant	0	0.0117
Cynictis_penicillata	extant	0	0.0117
Atilax_paludinosus	extant	0	0.0117
Felis_libyca	extant	0	0.0117
Cynictis_penicillata	extant	0	0.0117
Panthera_pardus	extant	0	2.588
Felis_libyca	extant	0	2.588
Caracal_caracal	extant	0	2.588
Genetta	extant	0	2.588
Herpestes_ichneumon	extant	0	2.588
Herpestes_pulverulentus	extant	0	2.588
Panthera_pardus	extant	0	2.588
Felis_libyca	extant	0	2.588
Herpestes_pulverulentus	extant	0	2.588
Panthera_leo	extant	0	2.588
Felis_libyca	extant	0	2.588
Caracal_caracal	extant	0	2.588
Herpestes_pulverulentus	extant	0	2.588
Panthera_pardus	extant	0	2.588
Felis_libyca	extant	0	2.588
Caracal_caracal	extant	0	2.588
Parahyaena_brunnea	extant	0	2.588
Herpestes_ichneumon	extant	0	2.588
Atilax_paludinosus	extant	0	2.588
Herpestes_pulverulentus	extant	0	2.588
Panthera_leo	extant	0.0117	2.588
Megantereon	extant	0.0117	5.333
Helogale	extinct	2.588	5.333
Crocuta_crocuta	extant	0.0117	0.781
Panthera_leo	extant	0.0117	0.781
Panthera_pardus	extant	0.0117	0.781
Felis_libyca	extant	0.0117	0.781
Felidae	extant	0.0117	0.781
Caracal_caracal	extant	0.0117	0.781
Ichneumia_albicauda	extant	0.0117	0.781
Panthera_leo	extant	0.0117	0.781
Hyaena_hyaena	extant	0.0117	0.781
Ichneumia_albicauda	extant	0.0117	0.781
Mungos	extinct	1.806	2.588
Crocuta	extant	1.806	2.588
Crocuta	extant	1.806	2.588
Crocuta	extant	1.806	2.588
Homotherium	extinct	1.806	2.588
Hyaena_hyaena	extant	0.781	3.6
Homotherium	extinct	0.781	3.6
Hyaena_hyaena	extant	0.781	3.6
Crocuta_crocuta	extant	1.806	2.588
Hyaena_hyaena	extant	1.806	2.588
Felidae	extant	1.806	3.6
Hyaenidae	extinct	1.806	3.6
Homotherium	extinct	1.806	2.588
Crocuta_crocuta	extant	0.781	1.806
Hyaena_hyaena	extant	1.806	2.588
Crocuta	extant	1.806	2.588
Civettictis	extinct	1.806	2.588
Dinofelis	extinct	1.806	2.588
Crocuta_crocuta	extant	0.0117	5.333
Homotherium	extinct	0.0117	5.333
Megantereon	extant	0.0117	5.333
Panthera	extinct	0.0117	5.333
Pseudocivetta	extinct	0.781	5.333
Crocuta_crocuta	extant	0.0117	5.333
Pseudocivetta	extinct	0.0117	5.333
Megantereon	extant	0.0117	5.333
Homotherium	extinct	3.6	5.333
Homotherium	extinct	0.0117	5.333
Megantereon	extant	0.0117	5.333
Dinofelis	extinct	0.0117	5.333
Panthera_leo	extant	0.0117	5.333
Megantereon	extant	0.781	1.806
Crocuta_crocuta	extant	0.0117	5.333
Megantereon	extant	0.0117	5.333
Panthera_leo	extant	0.0117	5.333
Dinofelis	extinct	0.0117	5.333
Crocuta_crocuta	extant	0.0117	5.333
Crocuta_crocuta	extant	0.0117	5.333
Pseudocivetta	extinct	0.0117	5.333
Genetta_genetta	extant	0.0117	5.333
Crocuta_crocuta	extant	0.0117	5.333
Homotherium	extinct	0.0117	5.333
Megantereon_eurynodon	extinct	0.0117	5.333
Crocuta_crocuta	extant	0.0117	5.333
Megantereon	extant	0.0117	5.333
Crocuta_crocuta	extant	0.781	5.333
Crocuta_crocuta	extant	0.0117	5.333
Homotherium	extinct	0.0117	5.333
Panthera	extinct	0.0117	5.333
Dinofelis	extinct	0.0117	5.333
Crocuta_crocuta	extant	0.0117	5.333
Helogale_hirtula	extinct	1.806	2.588
Helogale	extinct	2.588	3.6
Helogale_hirtula	extinct	1.806	2.588
Felidae	extant	1.806	2.588
Felidae	extant	1.806	2.588
Helogale	extinct	1.806	2.588
Felidae	extant	1.806	2.588
Helogale_hirtula	extinct	1.806	2.588
Dinofelis	extinct	2.588	5.333
Megantereon	extant	2.588	5.333
Hyaena	extant	2.588	5.333
Homotherium	extinct	2.588	5.333
Felidae	extant	2.588	5.333
Caracal_caracal	extant	2.588	5.333
Hyaena	extant	2.588	5.333
Panthera_pardus	extant	2.588	5.333
Viverra_leakeyi	extinct	2.588	5.333
Hyaenidae	extinct	2.588	3.6
Crocuta_crocuta	extant	0.781	5.333
Panthera_leo	extant	0.781	5.333
Panthera_pardus	extant	0.781	5.333
Hyaena_hyaena	extant	0.781	5.333
Hyaenidae	extinct	0.781	5.333
Dinofelis	extinct	0.781	5.333
Chasmaporthetes	extinct	0.781	5.333
Homotherium	extinct	0.781	5.333
Megantereon	extant	0.781	5.333
Chasmaporthetes	extinct	0.781	5.333
Crocuta	extant	0.781	5.333
Pachycrocuta	extinct	0.781	5.333
Chasmaporthetes	extinct	0.781	5.333
Felidae	extant	0.781	5.333
Hyaenidae	extinct	2.588	3.6
Hyaenidae	extinct	2.588	3.6
Felidae	extant	2.588	3.6
Mungos	extinct	2.588	3.6
Hyaenidae	extinct	2.588	3.6
Felidae	extant	2.588	3.6
Megantereon	extant	2.588	3.6
Hyaenidae	extinct	2.588	3.6
Mungos	extinct	1.806	2.588
Hyaenidae	extinct	1.806	2.588
Cynictis	extinct	1.806	2.588
Hyaenidae	extinct	1.806	2.588
Hyaenidae	extinct	2.588	3.6
Hyaenidae	extinct	2.588	3.6
Felidae	extant	2.588	3.6
Felidae	extant	2.588	3.6
Hyaenidae	extinct	2.588	3.6
Felidae	extant	2.588	3.6
Felidae	extant	2.588	3.6
Hyaenidae	extinct	2.588	3.6
Hyaenidae	extinct	2.588	3.6
Felidae	extant	2.588	3.6
Felidae	extant	2.588	3.6
Felidae	extant	2.588	3.6
Hyaenidae	extinct	1.806	2.588
Herpestes_ichneumon	extant	1.806	2.588
Herpestes	extant	1.806	2.588
Helogale	extinct	1.806	2.588
Dinofelis	extinct	2.588	3.6
Viverra_leakeyi	extinct	2.588	3.6
Felidae	extant	2.588	3.6
Panthera_pardus	extant	2.588	5.333
Caracal_caracal	extant	2.588	5.333
Acinonyx_jubatus	extant	2.588	5.333
Hyaenidae	extinct	2.588	5.333
Dinofelis	extinct	2.588	5.333
Megantereon_cultridens	extinct	2.588	5.333
Chasmaporthetes	extinct	2.588	5.333
Megantereon	extant	0.781	1.806
Panthera_leo	extant	0.781	1.806
Proteles	extant	0.781	1.806
Panthera_leo	extant	0.781	2.588
Panthera_pardus	extant	0.781	2.588
Caracal_caracal	extant	0.781	2.588
Dinofelis	extinct	0.781	2.588
Caracal_serval	extant	0.781	2.588
Megantereon	extant	0.781	2.588
Hyaenidae	extinct	0.781	2.588
Parahyaena_brunnea	extant	0.781	2.588
Herpestes_ichneumon	extant	0.781	2.588
Proteles	extant	0.781	2.588
Chasmaporthetes	extinct	0.781	2.588
Crocuta_crocuta	extant	0.781	2.588
Crocuta_crocuta	extant	0.781	2.588
Chasmaporthetes	extinct	0.781	2.588
Chasmaporthetes	extinct	0.781	2.588
Chasmaporthetes	extinct	0.781	2.588
Parahyaena_brunnea	extant	0.781	2.588
Hyaenictis	extinct	0.781	2.588
Proteles	extant	0.781	2.588
Viverridae	extant	0.781	2.588
Crocuta_crocuta	extant	0.0117	2.588
Panthera_leo	extant	0.0117	2.588
Panthera_pardus	extant	0.0117	2.588
Hyaenidae	extinct	0.0117	2.588
Proteles_cristatus	extinct	0.0117	2.588
Parahyaena_brunnea	extant	0.0117	2.588
Suricata_suricatta	extinct	0.0117	2.588
Chasmaporthetes	extinct	0.0117	2.588
Atilax	extinct	0.0117	2.588
Herpestes_sanguineus	extant	0.0117	2.588
Viverridae	extant	0.0117	2.588
Felidae	extant	0.0117	2.588
Panthera_pardus	extant	0.0117	5.333
Panthera_pardus	extant	2.588	5.333
Crocuta_crocuta	extant	0.0117	2.588
Panthera_pardus	extant	0.0117	2.588
Acinonyx_jubatus	extant	0.0117	2.588
Hyaenidae	extinct	0.0117	2.588
Parahyaena_brunnea	extant	0.0117	2.588
Cynictis_penicillata	extant	0.0117	2.588
Suricata_suricatta	extinct	0.0117	2.588
Megantereon_cultridens	extinct	0.0117	2.588
Proteles	extant	0.0117	2.588
Chasmaporthetes	extinct	0.0117	2.588
Herpestidae	extant	0.0117	2.588
Atilax	extinct	0.0117	2.588
Viverridae	extant	0.0117	2.588
Felis_libyca	extant	0.0117	2.588
Genetta_tigrina	extant	0.0117	2.588
Panthera_pardus	extant	0.0117	2.588
Hyaenidae	extinct	0.0117	2.588
Proteles_cristatus	extinct	0.0117	2.588
Suricata_suricatta	extinct	0.0117	2.588
Viverridae	extant	0.0117	2.588
Viverridae	extant	0.0117	2.588
Hyaenidae	extinct	2.588	5.333
Felidae	extant	2.588	5.333
Hyaenidae	extinct	2.588	3.6
Felidae	extant	2.588	3.6
Crocuta	extant	2.588	3.6
Hyaenidae	extinct	2.588	3.6
Crocuta_crocuta	extant	0.0117	2.588
Genetta	extant	0.0117	2.588
Viverridae	extant	0.0117	2.588
Herpestes_ichneumon	extant	0.0117	2.588
Panthera_leo	extant	0.0117	2.588
Herpestes_ichneumon	extant	0.0117	2.588
Crocuta_crocuta	extant	0	2.588
Felis_libyca	extant	0	2.588
Felis_libyca	extant	0.0117	2.588
Hyaena_hyaena	extant	0	0.0117
Genetta	extant	0	0.0117
Viverridae	extant	0	0.0117
Felidae	extant	0	0.0117
Herpestes_sanguineus	extant	0	0.0117
Genetta	extant	0	0.0117
Viverridae	extant	0	0.0117
Felis_silvestris	extant	0	0.0117
Viverridae	extant	0	0.0117
Panthera_pardus	extant	0	0.0117
Caracal_caracal	extant	0	0.0117
Herpestes_ichneumon	extant	0	0.0117
Herpestes_pulverulentus	extant	0	0.0117
Crocuta_crocuta	extant	0	2.588
Felis_libyca	extant	0	2.588
Genetta_genetta	extant	0	2.588
Mungos_mungo	extant	0	2.588
Herpestes_ichneumon	extant	0	2.588
Panthera_pardus	extant	0	2.588
Herpestes_sanguineus	extant	0	2.588
Parahyaena_brunnea	extant	0	2.588
Crocuta_crocuta	extant	0.0117	2.588
Panthera_leo	extant	0.0117	2.588
Panthera_pardus	extant	0.0117	2.588
Felis_libyca	extant	0.0117	2.588
Acinonyx_jubatus	extant	0.0117	2.588
Caracal_serval	extant	0.0117	2.588
Parahyaena_brunnea	extant	0.0117	2.588
Genetta_tigrina	extant	0.0117	2.588
Herpestes_ichneumon	extant	0.0117	2.588
Herpestes	extant	0.0117	2.588
Crocuta_crocuta	extant	0	0.0117
Panthera_pardus	extant	0	0.0117
Felis_libyca	extant	0	2.588
Genetta	extant	0	2.588
Parahyaena_brunnea	extant	0	2.588
Herpestes	extant	0	2.588
Crocuta_crocuta	extant	0.0117	2.588
Panthera_leo	extant	0.0117	2.588
Panthera_pardus	extant	0.0117	2.588
Felis_libyca	extant	0.0117	2.588
Caracal_caracal	extant	0.0117	2.588
Acinonyx_jubatus	extant	0.0117	2.588
Genetta	extant	0.0117	2.588
Felis_nigripes	extinct	0.0117	2.588
Parahyaena_brunnea	extant	0.0117	2.588
Cynictis_penicillata	extant	0.0117	2.588
Suricata_suricatta	extinct	0.0117	2.588
Herpestes_ichneumon	extant	0.0117	2.588
Atilax_paludinosus	extant	0.0117	2.588
Panthera_leo	extant	0	2.588
Parahyaena_brunnea	extant	0	2.588
Hyaena_hyaena	extant	0	0.0117
Genetta	extant	0	0.0117
Felis_silvestris	extant	0	0.0117
Viverridae	extant	0	0.0117
Crocuta_crocuta	extant	0.0117	5.333
Hyaenidae	extinct	0.0117	5.333
Crocuta_crocuta	extant	0.0117	2.588
Panthera_leo	extant	0.0117	2.588
Panthera_pardus	extant	0.0117	2.588
Felis_libyca	extant	0.0117	2.588
Felidae	extant	0.0117	2.588
Hyaena_hyaena	extant	0.0117	2.588
Caracal_caracal	extant	0.0117	2.588
Ichneumia_albicauda	extant	0.0117	2.588
Machairodus	extinct	2.588	23.03
Panthera_leo	extant	0	2.588
Felis	extant	0	2.588
Panthera_leo	extant	0	2.588
Civettictis_civetta	extant	0	0.0117
Crossarchus	extant	0	0.0117
Viverridae	extant	0	0.0117
Bdeogale	extant	0	0.0117
Panthera_pardus	extant	0	2.588
Caracal_serval	extant	0	2.588
Atilax_paludinosus	extant	0	2.588
Viverridae	extant	0	2.588
Hyaenidae	extinct	0.126	0.781
Crocuta_crocuta	extant	0.0117	5.333
Hyaenidae	extinct	3.6	5.333
Panthera	extinct	2.588	23.03
Hyaena	extant	2.588	23.03
Felidae	extant	0.0117	23.03
Panthera_pardus	extant	0.0117	5.333
Dinofelis	extinct	0.0117	5.333
Viverra	extant	0.0117	5.333
Parahyaena_brunnea	extant	0.0117	5.333
Megantereon	extant	0.0117	5.333
Herpestes	extant	0.0117	5.333
Proteles	extant	0.0117	5.333
Panthera_pardus	extant	0.0117	5.333
Panthera_pardus	extant	0.0117	5.333
Herpestes	extant	0.0117	5.333
Parahyaena_brunnea	extant	0.0117	5.333
Crocuta_crocuta	extant	0.0117	5.333
Panthera_leo	extant	0.0117	5.333
Hyaenidae	extinct	0.0117	5.333
Homotherium	extinct	0.0117	5.333
Megantereon_eurynodon	extinct	0.0117	5.333
Viverridae	extant	0.0117	5.333
Felis	extant	0.0117	5.333
Dinofelis	extinct	0.0117	5.333
Felis	extant	0.0117	5.333
Hyaena	extant	0.0117	5.333
Crossarchus	extant	0.0117	5.333
Herpestes	extant	0.0117	5.333
Hyaena_hyaena	extant	2.588	5.333
Machairodus	extinct	2.588	3.6
Caracal_caracal	extant	2.588	3.6
Felis	extant	2.588	3.6
Therailurus	extinct	2.588	3.6
Cynictis_penicillata	extant	2.588	3.6
Crocuta_crocuta	extant	2.588	5.333
Panthera_pardus	extant	2.588	5.333
Panthera_pardus	extant	2.588	5.333
Homotherium	extinct	2.588	5.333
Dinofelis	extinct	2.588	5.333
Pachycrocuta	extinct	2.588	5.333
Hyaena	extant	2.588	5.333
Panthera_pardus	extant	2.588	5.333
Homotherium	extinct	2.588	5.333
Dinofelis	extinct	2.588	5.333
Hyaena_hyaena	extant	2.588	5.333
Hyaenidae	extinct	2.588	23.03
Felidae	extant	2.588	23.03
Felidae	extant	2.588	23.03
Homotherium	extinct	2.588	23.03
Hyaenidae	extinct	2.588	23.03
Viverridae	extant	2.588	5.333
Viverridae	extant	2.588	5.333
Crocuta_crocuta	extant	0.0117	2.588
Hyaenidae	extinct	2.588	5.333
Hyaenidae	extinct	2.588	5.333
Hyaenidae	extinct	2.588	5.333
Felidae	extant	2.588	5.333
Hyaenidae	extinct	2.588	5.333
Puma_concolor	extant	0	0.0117
Lycyaena	extinct	2.588	11.608
Dinofelis	extinct	2.588	11.608
Nimravidae	extinct	33.3	33.9
Miracinonyx	extinct	1.8	4.9
Miracinonyx	extinct	1.8	4.9
Puma_concolor	extant	0.0117	2.588
Machairodus	extinct	5.333	8.7
Metailurus	extinct	5.333	8.7
Semigenetta	extinct	7.246	15.97
Progenetta	extinct	7.246	15.97
Pseudaelurus_quadridentatus	extinct	7.246	15.97
Pseudaelurus_quadridentatus	extinct	7.246	15.97
Herpestes	extant	2.588	5.333
Herpestes_ichneumon	extant	2.588	5.333
Helogale	extinct	2.588	5.333
Mungos	extinct	2.588	5.333
Viverra_leakeyi	extinct	2.588	5.333
Panthera	extinct	2.588	5.333
Panthera_pardus	extant	2.588	5.333
Megantereon	extant	2.588	5.333
Homotherium	extinct	2.588	5.333
Felis	extant	2.588	5.333
Felis	extant	2.588	5.333
Felis	extant	2.588	5.333
Viverra_leakeyi	extinct	2.588	3.6
Genetta	extant	2.588	3.6
Dinofelis	extinct	2.588	3.6
Panthera_pardus	extant	2.588	3.6
Lynx	extant	2.588	3.6
Felis_silvestris	extant	2.588	3.6
Homotherium	extinct	2.588	3.6
Ichneumia_nims	extinct	2.588	3.6
Herpestes_abdelalii	extinct	2.588	3.6
Crocuta_dbaa	extinct	2.588	3.6
Pliocrocuta_perrieri	extinct	2.588	3.6
Hyaenictitherium_barbarum	extinct	2.588	3.6
Chasmaporthetes	extinct	2.588	3.6
Acinonyx_aicha	extinct	2.588	3.6
Panthera_pardus	extant	0.0117	0.781
Lynx_lynx	extant	0.0117	0.781
Protictitherium	extinct	13.65	15.97
Semigenetta	extinct	13.65	15.97
Protictitherium	extinct	13.65	15.97
Pliocrocuta_perrieri	extinct	2.588	3.6
Panthera_pardus	extant	0.0117	0.781
Lynx_lynx	extant	0.0117	0.781
Felis	extant	0.0117	0.781
Viverridae	extant	0.781	2.588
Lynx_lynx	extant	0.0117	0.781
Felidae	extant	0.781	2.588
Acinonyx_jubatus	extant	0.0117	0.126
Crocuta_crocuta	extant	0.0117	0.126
Caracal_serval	extant	0.0117	0.126
Crocuta_crocuta	extant	0.0117	0.126
Caracal_serval	extant	0.0117	0.126
Caracal_serval	extant	0.0117	0.126
Herpestes	extant	0.0117	0.126
Panthera_leo	extant	0.0117	0.126
Panthera_leo	extant	0.0117	0.126
Panthera	extinct	0.781	2.588
Semigenetta	extinct	11.62	15.97
Lynx	extant	0.781	2.588
Panthera	extinct	0.781	2.588
Megantereon	extant	0.781	2.588
Felis	extant	0.781	2.588
Lynx	extant	0.781	2.588
Homotherium	extinct	0.781	2.588
Crocuta	extant	0.781	2.588
Crocuta	extant	0.781	2.588
Crocuta	extant	0.126	0.781
Hyaenidae	extinct	0.0117	2.588
Pachycrocuta	extinct	0.0117	2.588
Homotherium	extinct	0.0117	2.588
Panthera_gombaszoegensis	extinct	0.0117	2.588
Crocuta_crocuta	extant	0.126	0.781
Viverra_leakeyi	extinct	7.246	11.62
Viverrinae	extinct	7.246	11.62
Viverridae	extant	7.246	11.62
Genetta	extant	7.246	11.62
Ictitherium	extinct	7.246	11.62
Hyaenictitherium	extinct	7.246	11.62
Hyaenictis	extinct	7.246	11.62
Ikelohyaena	extinct	7.246	11.62
Dinofelis	extinct	7.246	11.62
Metailurus	extinct	7.246	11.62
Viverridae	extant	2.588	11.62
Genetta	extant	2.588	11.62
Hyaenictitherium	extinct	2.588	11.62
Hyaenictis	extinct	2.588	11.62
Dinofelis	extinct	2.588	11.62
Metailurus	extinct	2.588	11.62
Pachycrocuta	extinct	0.0117	2.588
Panthera_leo	extant	0.0117	2.588
Panthera_gombaszoegensis	extinct	0.0117	2.588
Felis	extant	0.0117	2.588
Lynx_pardinus	extinct	0.0117	2.588
Ictitherium	extinct	2.588	11.62
Hyaenictis	extinct	2.588	11.62
Ikelohyaena	extinct	2.588	11.62
Dinofelis	extinct	2.588	5.333
Lynx_rufus	extant	0.0117	0.126
Crocuta_crocuta	extant	0.0117	2.588
Hyaena_hyaena	extant	0.0117	2.588
Panthera_leo	extant	0.0117	2.588
Lynx	extant	0.0117	2.588
Crocuta_crocuta	extant	0.126	0.781
Hyaena_hyaena	extant	0.126	0.781
Panthera_leo	extant	0.126	0.781
Felis	extant	0.126	0.781
Crocuta	extant	0.0117	2.588
Panthera	extinct	0.126	0.781
Chasmaporthetes	extinct	3.2	5.333
Lynx	extant	3.2	5.333
Machairodus	extinct	3.2	5.333
Metailurus	extinct	0.126	0.781
Machairodus	extinct	5.333	8.7
Ictitherium	extinct	5.333	8.7
Acinonyx	extinct	2.588	5.333
Ictitherium	extinct	5.333	8.7
Adcrocuta	extinct	5.333	8.7
Hyaenictitherium	extinct	5.333	8.7
Machairodus_kurteni	extinct	5.333	8.7
Lynx	extant	2.588	5.333
Chasmaporthetes	extinct	2.588	5.333
Pliocrocuta_perrieri	extinct	2.588	5.333
Lynx	extant	2.588	5.333
Acinonyx	extinct	2.588	5.333
Megantereon_megantereon	extinct	2.588	5.333
Homotherium	extinct	2.588	5.333
Pachycrocuta	extinct	0.781	2.588
Homotherium	extinct	0.781	2.588
Pachycrocuta	extinct	0.781	2.588
Pachycrocuta	extinct	0.0117	2.588
Adcrocuta	extinct	5.333	11.608
Lycyaena	extinct	5.333	11.608
Hyaenotherium	extinct	5.333	11.608
Machairodus	extinct	5.333	11.608
Homotherium	extinct	2.588	3.2
Lynx	extant	2.588	3.2
Megantereon_megantereon	extinct	0.0117	3.2
Lynx	extant	0.0117	3.2
Chasmaporthetes	extinct	2.588	3.2
Hyaena	extant	0.0117	23.03
Homotherium	extinct	2.588	3.2
Homotherium	extinct	2.588	3.2
